Natureza,Mes,Ano,Regiao,Ocorrencias
LESÃO CORPORAL SEGUIDA DE MORTE,Mai,2021,Araçatuba,0
LESÃO CORPORAL SEGUIDA DE MORTE,Jun,2021,Araçatuba,0
LESÃO CORPORAL SEGUIDA DE MORTE,Jul,2021,Araçatuba,0
LESÃO CORPORAL SEGUIDA DE MORTE,Ago,2021,Araçatuba,0
LESÃO CORPORAL SEGUIDA DE MORTE,Set,2021,Araçatuba,0
LESÃO CORPORAL SEGUIDA DE MORTE,Out,2021,Araçatuba,1
LESÃO CORPORAL SEGUIDA DE MORTE,Nov,2021,Araçatuba,1
LESÃO CORPORAL SEGUIDA DE MORTE,Dez,2021,Araçatuba,0
LESÃO CORPORAL DOLOSA,Jan,2021,Araçatuba,213
LESÃO CORPORAL DOLOSA,Fev,2021,Araçatuba,163
LESÃO CORPORAL DOLOSA,Mar,2021,Araçatuba,224
LESÃO CORPORAL DOLOSA,Abr,2021,Araçatuba,208
LESÃO CORPORAL DOLOSA,Mai,2021,Araçatuba,176
LESÃO CORPORAL DOLOSA,Jun,2021,Araçatuba,188
LESÃO CORPORAL DOLOSA,Jul,2021,Araçatuba,172
LESÃO CORPORAL DOLOSA,Ago,2021,Araçatuba,251
LESÃO CORPORAL DOLOSA,Set,2021,Araçatuba,240
LESÃO CORPORAL DOLOSA,Out,2021,Araçatuba,201
LESÃO CORPORAL DOLOSA,Nov,2021,Araçatuba,233
LESÃO CORPORAL DOLOSA,Dez,2021,Araçatuba,258
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,Jan,2021,Araçatuba,193
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,Fev,2021,Araçatuba,180
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,Mar,2021,Araçatuba,188
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,Abr,2021,Araçatuba,160
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,Mai,2021,Araçatuba,198
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,Jun,2021,Araçatuba,187
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,Jul,2021,Araçatuba,203
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,Ago,2021,Araçatuba,230
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,Set,2021,Araçatuba,238
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,Out,2021,Araçatuba,191
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,Nov,2021,Araçatuba,225
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,Dez,2021,Araçatuba,204
LESÃO CORPORAL CULPOSA - OUTRAS,Jan,2021,Araçatuba,2
LESÃO CORPORAL CULPOSA - OUTRAS,Fev,2021,Araçatuba,1
LESÃO CORPORAL CULPOSA - OUTRAS,Mar,2021,Araçatuba,3
LESÃO CORPORAL CULPOSA - OUTRAS,Abr,2021,Araçatuba,0
LESÃO CORPORAL CULPOSA - OUTRAS,Mai,2021,Araçatuba,9
LESÃO CORPORAL CULPOSA - OUTRAS,Jun,2021,Araçatuba,4
LESÃO CORPORAL CULPOSA - OUTRAS,Jul,2021,Araçatuba,6
LESÃO CORPORAL CULPOSA - OUTRAS,Ago,2021,Araçatuba,1
LESÃO CORPORAL CULPOSA - OUTRAS,Set,2021,Araçatuba,2
LESÃO CORPORAL CULPOSA - OUTRAS,Out,2021,Araçatuba,1
LESÃO CORPORAL CULPOSA - OUTRAS,Nov,2021,Araçatuba,1
LESÃO CORPORAL CULPOSA - OUTRAS,Dez,2021,Araçatuba,3
LATROCÍNIO,Jan,2021,Araçatuba,0
LATROCÍNIO,Fev,2021,Araçatuba,0
LATROCÍNIO,Mar,2021,Araçatuba,0
LATROCÍNIO,Abr,2021,Araçatuba,0
LATROCÍNIO,Mai,2021,Araçatuba,1
LATROCÍNIO,Jun,2021,Araçatuba,0
LATROCÍNIO,Jul,2021,Araçatuba,0
LATROCÍNIO,Ago,2021,Araçatuba,2
LATROCÍNIO,Set,2021,Araçatuba,0
LATROCÍNIO,Out,2021,Araçatuba,0
LATROCÍNIO,Nov,2021,Araçatuba,0
LATROCÍNIO,Dez,2021,Araçatuba,1
Nº DE VÍTIMAS EM LATROCÍNIO,Jan,2021,Araçatuba,0
Nº DE VÍTIMAS EM LATROCÍNIO,Fev,2021,Araçatuba,0
Nº DE VÍTIMAS EM LATROCÍNIO,Mar,2021,Araçatuba,0
Nº DE VÍTIMAS EM LATROCÍNIO,Abr,2021,Araçatuba,0
Nº DE VÍTIMAS EM LATROCÍNIO,Mai,2021,Araçatuba,1
Nº DE VÍTIMAS EM LATROCÍNIO,Jun,2021,Araçatuba,0
Nº DE VÍTIMAS EM LATROCÍNIO,Jul,2021,Araçatuba,0
Nº DE VÍTIMAS EM LATROCÍNIO,Ago,2021,Araçatuba,3
Nº DE VÍTIMAS EM LATROCÍNIO,Set,2021,Araçatuba,0
Nº DE VÍTIMAS EM LATROCÍNIO,Out,2021,Araçatuba,0
Nº DE VÍTIMAS EM LATROCÍNIO,Nov,2021,Araçatuba,0
Nº DE VÍTIMAS EM LATROCÍNIO,Dez,2021,Araçatuba,1
TOTAL DE ESTUPRO (4),Jan,2021,Araçatuba,18
TOTAL DE ESTUPRO (4),Fev,2021,Araçatuba,14
TOTAL DE ESTUPRO (4),Mar,2021,Araçatuba,19
TOTAL DE ESTUPRO (4),Abr,2021,Araçatuba,17
TOTAL DE ESTUPRO (4),Mai,2021,Araçatuba,20
TOTAL DE ESTUPRO (4),Jun,2021,Araçatuba,18
TOTAL DE ESTUPRO (4),Jul,2021,Araçatuba,20
TOTAL DE ESTUPRO (4),Ago,2021,Araçatuba,17
TOTAL DE ESTUPRO (4),Set,2021,Araçatuba,20
TOTAL DE ESTUPRO (4),Out,2021,Araçatuba,17
TOTAL DE ESTUPRO (4),Nov,2021,Araçatuba,24
TOTAL DE ESTUPRO (4),Dez,2021,Araçatuba,17
ESTUPRO,Jan,2021,Araçatuba,2
ESTUPRO,Fev,2021,Araçatuba,4
ESTUPRO,Mar,2021,Araçatuba,2
ESTUPRO,Abr,2021,Araçatuba,7
ESTUPRO,Mai,2021,Araçatuba,4
ESTUPRO,Jun,2021,Araçatuba,1
ESTUPRO,Jul,2021,Araçatuba,6
ESTUPRO,Ago,2021,Araçatuba,2
ESTUPRO,Set,2021,Araçatuba,6
ESTUPRO,Out,2021,Araçatuba,5
ESTUPRO,Nov,2021,Araçatuba,4
ESTUPRO,Dez,2021,Araçatuba,7
ESTUPRO DE VULNERÁVEL,Jan,2021,Araçatuba,16
ESTUPRO DE VULNERÁVEL,Fev,2021,Araçatuba,10
ESTUPRO DE VULNERÁVEL,Mar,2021,Araçatuba,17
ESTUPRO DE VULNERÁVEL,Abr,2021,Araçatuba,10
ESTUPRO DE VULNERÁVEL,Mai,2021,Araçatuba,16
ESTUPRO DE VULNERÁVEL,Jun,2021,Araçatuba,17
ESTUPRO DE VULNERÁVEL,Jul,2021,Araçatuba,14
ESTUPRO DE VULNERÁVEL,Ago,2021,Araçatuba,15
ESTUPRO DE VULNERÁVEL,Set,2021,Araçatuba,14
ESTUPRO DE VULNERÁVEL,Out,2021,Araçatuba,12
ESTUPRO DE VULNERÁVEL,Nov,2021,Araçatuba,20
ESTUPRO DE VULNERÁVEL,Dez,2021,Araçatuba,10
TOTAL DE ROUBO - OUTROS (1),Jan,2021,Araçatuba,51
TOTAL DE ROUBO - OUTROS (1),Fev,2021,Araçatuba,45
TOTAL DE ROUBO - OUTROS (1),Mar,2021,Araçatuba,52
TOTAL DE ROUBO - OUTROS (1),Abr,2021,Araçatuba,57
TOTAL DE ROUBO - OUTROS (1),Mai,2021,Araçatuba,59
TOTAL DE ROUBO - OUTROS (1),Jun,2021,Araçatuba,56
TOTAL DE ROUBO - OUTROS (1),Jul,2021,Araçatuba,45
TOTAL DE ROUBO - OUTROS (1),Ago,2021,Araçatuba,53
TOTAL DE ROUBO - OUTROS (1),Set,2021,Araçatuba,54
TOTAL DE ROUBO - OUTROS (1),Out,2021,Araçatuba,40
TOTAL DE ROUBO - OUTROS (1),Nov,2021,Araçatuba,52
TOTAL DE ROUBO - OUTROS (1),Dez,2021,Araçatuba,61
ROUBO - OUTROS,Jan,2021,Araçatuba,50
ROUBO - OUTROS,Fev,2021,Araçatuba,44
ROUBO - OUTROS,Mar,2021,Araçatuba,52
ROUBO - OUTROS,Abr,2021,Araçatuba,57
ROUBO - OUTROS,Mai,2021,Araçatuba,57
ROUBO - OUTROS,Jun,2021,Araçatuba,56
ROUBO - OUTROS,Jul,2021,Araçatuba,45
ROUBO - OUTROS,Ago,2021,Araçatuba,51
ROUBO - OUTROS,Set,2021,Araçatuba,53
ROUBO - OUTROS,Out,2021,Araçatuba,40
ROUBO - OUTROS,Nov,2021,Araçatuba,50
ROUBO - OUTROS,Dez,2021,Araçatuba,60
ROUBO DE VEÍCULO,Jan,2021,Araçatuba,3
ROUBO DE VEÍCULO,Fev,2021,Araçatuba,3
ROUBO DE VEÍCULO,Mar,2021,Araçatuba,1
ROUBO DE VEÍCULO,Abr,2021,Araçatuba,5
ROUBO DE VEÍCULO,Mai,2021,Araçatuba,2
ROUBO DE VEÍCULO,Jun,2021,Araçatuba,1
